kernel line : count latency dram_traffic smem_bk_conflicts smem_warp gmem_access_generated gmem_warp exposed_latency warp_divergence
_1.ptx 1171 : 50331648 486612672 0 0 0 0 0 0 0 
_1.ptx 762 : 50331648 445040000 0 0 0 0 0 0 0 
_1.ptx 1172 : 50331648 483815968 0 0 0 0 0 0 0 
_1.ptx 763 : 50331648 391124800 0 0 0 0 0 0 0 
_1.ptx 764 : 50331648 449367584 0 0 0 0 0 0 0 
_1.ptx 765 : 50331648 175558289 0 0 0 0 0 0 1521270 
_1.ptx 1175 : 50331648 581794432 0 0 0 0 0 0 0 
_1.ptx 1176 : 50331648 442120384 0 0 0 0 0 0 0 
_1.ptx 767 : 25990119 204819515 0 0 0 0 0 0 0 
_1.ptx 1177 : 50331648 606623328 0 0 0 0 0 0 0 
_1.ptx 768 : 25990119 203771975 0 0 0 0 0 0 0 
_1.ptx 1178 : 50331648 442072544 0 0 0 0 0 0 0 
_1.ptx 769 : 25990119 253173154 0 0 0 0 0 0 0 
_1.ptx 1179 : 50331648 388686592 0 0 0 0 0 0 0 
_1.ptx 770 : 25990119 174023591 0 0 0 0 0 0 0 
_1.ptx 1180 : 50331648 447724576 0 0 0 0 0 0 0 
_1.ptx 771 : 25990119 254319155 0 0 0 0 0 0 0 
_1.ptx 1181 : 50331648 175154323 0 0 0 0 0 0 1522915 
_1.ptx 772 : 25990119 170872149 0 0 0 0 0 0 0 
_1.ptx 773 : 25990119 253114609 0 0 0 0 0 0 0 
_1.ptx 1183 : 25886189 203312702 0 0 0 0 0 0 0 
_1.ptx 774 : 25990119 169722506 0 0 0 0 0 0 0 
_1.ptx 1184 : 25886189 203223881 0 0 0 0 0 0 0 
_1.ptx 775 : 25990119 243588965 0 0 0 0 0 0 0 
_1.ptx 1185 : 25886189 259970363 0 0 0 0 0 0 0 
_1.ptx 776 : 25990119 168965882 0 0 0 0 0 0 0 
_1.ptx 1186 : 25886189 172290522 0 0 0 0 0 0 0 
_1.ptx 1187 : 25886189 251343732 0 0 0 0 0 0 0 
_1.ptx 779 : 24341529 171853095 0 0 0 0 0 0 0 
_1.ptx 1188 : 25886189 170711734 0 0 0 0 0 0 0 
_1.ptx 780 : 24341529 171439474 0 0 0 0 0 0 0 
_1.ptx 1189 : 25886189 246008447 0 0 0 0 0 0 0 
_1.ptx 781 : 24341529 242174058 0 0 0 0 0 0 0 
_1.ptx 1190 : 25886189 170305819 0 0 0 0 0 0 0 
_1.ptx 782 : 24341529 173515617 0 0 0 0 0 0 0 
_1.ptx 1191 : 25886189 242042638 0 0 0 0 0 0 0 
_1.ptx 783 : 24341529 234208078 0 0 0 0 0 0 0 
_1.ptx 1192 : 25886189 170461101 0 0 0 0 0 0 0 
_1.ptx 784 : 24341529 289901089 0 0 0 0 0 0 0 
_1.ptx 785 : 24341529 239551779 0 0 0 0 0 0 0 
_1.ptx 1195 : 24445459 172021730 0 0 0 0 0 0 0 
_1.ptx 1196 : 24445459 171735235 0 0 0 0 0 0 0 
_1.ptx 1197 : 24445459 243248902 0 0 0 0 0 0 0 
_1.ptx 788 : 50331648 387701248 0 0 0 0 0 0 0 
_1.ptx 1198 : 24445459 174970412 0 0 0 0 0 0 0 
_1.ptx 789 : 50331648 385102912 0 0 0 0 0 0 0 
_1.ptx 1199 : 24445459 235147369 0 0 0 0 0 0 0 
_1.ptx 790 : 50331648 319500160 0 0 0 0 0 0 0 
_1.ptx 1200 : 24445459 293015764 0 0 0 0 0 0 0 
_1.ptx 791 : 50331648 417499168 0 0 0 0 0 0 0 
_1.ptx 1201 : 24445459 241580652 0 0 0 0 0 0 0 
_1.ptx 792 : 50331648 464579712 0 0 0 0 0 0 0 
_1.ptx 794 : 50331648 212885312 0 0 0 0 0 0 0 
_1.ptx 1204 : 50331648 388468448 0 0 0 0 0 0 0 
_1.ptx 795 : 50331648 469292608 0 0 0 0 0 0 0 
_1.ptx 1205 : 50331648 389890144 0 0 0 0 0 0 0 
_1.ptx 1206 : 50331648 319319648 0 0 0 0 0 0 0 
_1.ptx 797 : 50331648 401923488 0 0 0 0 0 0 0 
_1.ptx 1207 : 50331648 417601632 0 0 0 0 0 0 0 
_1.ptx 1208 : 50331648 465261568 0 0 0 0 0 0 0 
_1.ptx 799 : 50331648 326640736 0 0 0 0 0 0 0 
_1.ptx 1210 : 50331648 239935392 0 0 0 0 0 0 0 
_1.ptx 1211 : 50331648 471703680 0 0 0 0 0 0 0 
_1.ptx 1213 : 50331648 430026656 0 0 0 0 0 0 0 
_1.ptx 805 : 50331648 388341952 0 0 0 0 0 0 0 
_1.ptx 1215 : 50331648 330848576 0 0 0 0 0 0 0 
_1.ptx 806 : 50331648 345833888 0 0 0 0 0 0 0 
_1.ptx 807 : 50331648 419521088 0 0 0 0 0 0 0 
_1.ptx 808 : 50331648 324423776 0 0 0 0 0 0 0 
_1.ptx 1221 : 50331648 388792928 0 0 0 0 0 0 0 
_1.ptx 1222 : 50331648 342585856 0 0 0 0 0 0 0 
_1.ptx 1223 : 50331648 413204352 0 0 0 0 0 0 0 
_1.ptx 1224 : 50331648 321781984 0 0 0 0 0 0 0 
